"ID","tweet","word","tagType"
"18","RT @sinembesik  En hüzünlü aşk bir şehidin aşkıdır.  Yine dinlerken kanımızın coşacağına eminim varol reis #AyyıldızKolye @ahmetsafak_tc ","@sinembesik","Person"
"19","RT @sinembesik  En hüzünlü aşk bir şehidin aşkıdır.  Yine dinlerken kanımızın coşacağına eminim varol reis #AyyıldızKolye @ahmetsafak_tc ","#AyyıldızKolye","Product"
"20","RT @sinembesik  En hüzünlü aşk bir şehidin aşkıdır.  Yine dinlerken kanımızın coşacağına eminim varol reis #AyyıldızKolye @ahmetsafak_tc ","@ahmetsafak_tc","Person"
"21","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","@MusaGencer7","Person"
"22","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","Ayyıldız","Product"
"23","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","Kolye","Product"
"24","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","Ayyıldız","Product"
"25","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","Kolye","Product"
"26","RT @MusaGencer7  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı Ayyıldız Kolye anlatsın. @ahmetsafak_tc hayırlı olsun abim ","@ahmetsafak_tc","Person"
"27","RT @ezgiaykacc  #AyyıldızKolye hayırlı olsun ????????@ahmetsafak_tc ","@ezgiaykacc","Person"
"28","RT @ezgiaykacc  #AyyıldızKolye hayırlı olsun ????????@ahmetsafak_tc ","#AyyıldızKolye","Product"
"29","RT @ezgiaykacc  #AyyıldızKolye hayırlı olsun ????????@ahmetsafak_tc ","????????@ahmetsafak_tc","Person"
"30","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","@arzuerdemfan","Person"
"31","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","Ayyıldız","Product"
"32","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","Kolye","Product"
"33","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","Ayyıldız","Product"
"34","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","Kolye","Product"
"35","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","#AyyıldızKolye","Product"
"36","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","#arzuerdem","Person"
"37","RT @arzuerdemfan  Ayyıldız Kolye güzelliğine güzellik katsın Sana olan aşkımı  Ayyıldız Kolye anlatsın #AyyıldızKolye #arzuerdem @ahmetsafa… ","@ahmetsafa…","Person"
